"TWS Ecouteurs sans fil AirPods i12 TWS Bluetooth 5.0 Tactile avec Micro Intégré / Audio 3,5 mm pour iPhone Android Téléphones/Tablettes",77.97 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/664214/1.jpg?4470
"Samsung Galaxy A02 Gray 3GB RAM + 32GB Internal Storage 6.5"" 5,000mAh","1,010.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/411693/1.jpg?2119
La montre Bluetooth intelligente convient à iOS et Android,65.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/261883/1.jpg?7719
Chargeur 15w sans fil magnétique chargeur rapide pour IPhone 12 Pro Max Magsafe,89.91 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/916204/1.jpg?3855
Edifier X5 Écouteur Bluetooth Sans Fil assistant vocal bluetooth 5.0 assistant vocal à commande tactile,308.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/810883/1.jpg?5829
"Nouveau Selfi , Trépied et Tripod Support Flexible 2in1",35.91 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/303373/1.jpg?1057
Edifier X3 Écouteur Bluetooth Sans Fil assistant vocal bluetooth 5.0 assistant vocal à commande tactile,218.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/778983/1.jpg?1109
name,price,img
"XIAOMI Redmi 9C 6.53"" (3Go, 64Go) Android 13MP+2MP+2MP/5MP - Noir","1,190.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/896963/1.jpg?9768
Coque protection en silicone pour Airpods Pro 3 pochette,43.60 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/318193/1.jpg?0385
XIAOMI Mi Smart Band 6 -Noir,549.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/497114/1.jpg?5327
Type-c OTG adaptateur USB 3.0,17.84 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/322193/1.jpg?9153
"Edifier Casque sans fil Edifier TWSNB2 Pro, oreillette Bluetooth, suppression active du bruit, IP54 résistant à la transpiration, longue durée de vie de la batterie",648.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/878983/1.jpg?3844
TWS I100 tws  Écouteurs sans fil  Bluetooth 5.0,110.70 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/045583/1.jpg?3837
"Haylou Smart watch 2, étanche, 12 modes sportifs, rappel d'appel -Bluetooth 5.0",297.50 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/150114/1.jpg?2511
Huawei band 6 Exercise Heart Rate Monitor sleep 1.47 inches,412.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/399014/1.jpg?8353
Écouteurs sans-fil PRO 5 Airpods Bluetooth pour téléphone portable ecouteurs intra-auriculaires sans fil Tws avec étui de chargement,199.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/597904/1.jpg?0766
Support de téléphone pour voiture Magnétique ventilation Montage Mobile 360,37.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/110513/1.jpg?9585
"XIAOMI Redmi 9T 6,53"" (4Go, 128Go) 48MP+8MP+2MP+2MP/8MP Android - Gris","1,799.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/767193/1.jpg?2833
support de téléphone magnétique de voiture avec rotation 360 réglable noir,39.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/998604/1.jpg?3464
Borofone Power bank BT2D Full power 30000mAh Large Capacité 3 USB Sorties,319.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/308983/1.jpg?4649
"ZTE Smartphone Blade A3 2020 (32GB) 5,45” HD+ Display, Dual SIM GSM Android 9.0",770.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/857193/1.jpg?8270
"Nokia 105 (2019) 1.77"" (4Mo, 4Mo) Dual SIM - Noir",169.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/614543/1.jpg?8987
